way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=22010713 nodes=[1318544659, 8167521119, 4688497330, 4950019978, 1318544675]>",Cecil Street,22010713,4950019978,secondary,1.2773738,103.8470032,13.928720356799602
"<overpy.Way id=22010713 nodes=[1318544659, 8167521119, 4688497330, 4950019978, 1318544675]>",Cecil Street,22010713,1318544675,secondary,1.2776068,103.8470610,
"<overpy.Way id=459186765 nodes=[1318544659, 7867196162, 237055115]>",Maxwell Road,459186765,1318544659,secondary,1.2770557,103.8470143,135.14357956220726
"<overpy.Way id=459186765 nodes=[1318544659, 7867196162, 237055115]>",Maxwell Road,459186765,7867196162,secondary,1.2767611,103.8473075,135.17318717015257
"<overpy.Way id=459186765 nodes=[1318544659, 7867196162, 237055115]>",Maxwell Road,459186765,237055115,secondary,1.2767092,103.8473591,
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544653,secondary,1.2761893,103.8468201,21.544249532650497
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,7867196157,secondary,1.2763658,103.8468898,21.471947189642606
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544672,secondary,1.2764085,103.8469066,18.153949190121068
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544655,secondary,1.2765640,103.8469576,10.6580482002052
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544664,secondary,1.2767919,103.8470005,6.197987626896122
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,7859959363,secondary,1.2768232,103.8470039,6.077485693561528
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,4724923628,secondary,1.2768786,103.8470098,
"<overpy.Way id=479610398 nodes=[1318544675, 7828120478, 237089604]>",Cecil Street,479610398,1318544675,secondary,1.2776068,103.8470610,24.7697206610805
"<overpy.Way id=479610398 nodes=[1318544675, 7828120478, 237089604]>",Cecil Street,479610398,7828120478,secondary,1.2776341,103.8470736,26.875740546792088
"<overpy.Way id=479610398 nodes=[1318544675, 7828120478, 237089604]>",Cecil Street,479610398,237089604,secondary,1.2778580,103.8471871,
"<overpy.Way id=836676842 nodes=[1318552741, 7863314995, 241595238]>",n/a,836676842,1318552741,service,1.2782150,103.8453988,141.73686816966534
"<overpy.Way id=836676842 nodes=[1318552741, 7863314995, 241595238]>",n/a,836676842,7863314995,service,1.2775679,103.8459093,141.75746438794965
"<overpy.Way id=836676842 nodes=[1318552741, 7863314995, 241595238]>",n/a,836676842,241595238,service,1.2774994,103.8459633,
